Voting Precinct,Congressional,Senatorial,Legislative,County Commissioner,Constable and Justice of the Peace
101,35,14,51,1,1
102,17,14,50,1,1
103,10,14,50,1,1
104,10,14,50,1,2
105,10,14,46,1,1
106,10,14,50,1,1
107,17,14,50,1,1
108,10,14,50,1,1
109,17,14,50,1,2
110,17,14,50,1,2
111,17,14,50,1,2
112,17,14,50,1,1
113,17,14,46,1,1
114,10,14,51,1,1
115,35,14,51,1,4
116,35,14,46,1,1
117,35,14,46,1,1
118,10,14,46,1,1
119,35,14,51,1,1
120,35,14,46,1,1
121,35,14,46,1,1
122,25,14,46,1,1
123,10,14,50,1,2
124,25,14,46,1,1
125,10,14,46,1,1
126,25,14,46,1,1
127,10,14,46,1,1
128,35,14,50,1,1
129,25,14,46,1,1
130,25,14,46,1,1
131,10,14,46,1,1
132,25,14,46,1,1
133,25,14,46,1,5
134,35,14,46,1,1
135,25,14,46,1,5
136,10,14,46,1,2
137,17,14,50,1,2
138,10,21,51,1,4
139,35,14,46,1,1
140,10,14,50,1,1
141,10,14,46,1,1
142,10,14,46,1,5
145,17,14,46,1,2
146,10,14,46,1,2
148,17,14,46,1,2
149,10,14,49,1,1
150,10,14,50,1,2
151,25,14,46,1,1
152,25,14,46,1,1
153,10,14,50,1,1
154,10,14,50,1,1
156,10,14,46,1,1
160,17,14,46,1,2
161,17,14,50,1,2
163,17,14,50,1,2
164,35,14,50,1,1
200,10,14,49,2,5
202,25,14,49,2,5
203,10,14,46,2,2
205,17,14,50,2,2
206,25,14,49,2,5
207,17,14,50,2,2
208,25,14,49,2,5
209,35,14,49,2,2
210,25,14,48,2,5
211,10,14,50,2,2
212,10,14,48,2,3
213,25,14,48,2,5
214,25,14,49,2,5
215,17,14,50,2,2
216,17,14,50,2,2
217,10,14,46,2,5
218,10,14,49,2,2
219,17,14,50,2,2
220,25,14,48,2,5
221,25,14,48,2,3
222,10,14,49,2,2
223,35,14,46,2,5
224,35,14,46,2,5
225,17,14,50,2,2
226,17,14,50,2,1
227,10,14,50,2,1
228,10,14,49,2,2
229,17,14,50,2,2
231,25,14,48,2,5
232,25,14,47,2,2
233,25,14,47,2,5
234,25,14,47,2,5
235,10,14,49,2,5
236,10,14,49,2,5
237,10,14,48,2,5
238,25,14,48,2,5
239,10,14,49,2,5
240,10,14,49,2,5
241,10,14,49,2,5
242,10,14,49,2,5
243,10,14,49,2,5
244,25,14,47,2,2
245,10,14,47,2,2
246,10,14,48,2,2
247,25,14,48,2,2
248,10,14,49,2,5
249,10,14,48,2,2
250,21,14,49,2,5
251,25,14,48,2,5
252,10,14,49,2,5
253,10,14,48,2,2
254,17,14,50,2,2
256,25,14,48,2,5
258,10,14,49,2,2
259,17,14,50,2,2
260,10,14,49,2,2
262,10,14,48,2,2
263,17,14,50,2,2
266,10,14,48,2,5
267,17,14,49,2,2
268,10,14,49,2,2
273,10,14,49,2,5
274,25,14,49,2,5
275,25,14,49,2,5
277,21,14,49,2,5
301,21,14,48,3,3
302,25,25,47,3,3
303,25,25,47,3,3
304,25,25,47,3,3
305,17,14,49,3,2
306,25,24,47,3,2
307,25,14,48,3,3
308,25,24,47,3,3
309,21,14,48,3,3
310,21,25,47,3,3
311,21,14,49,3,5
312,25,24,47,3,2
313,25,14,49,3,5
314,21,24,47,3,3
315,21,25,47,3,3
316,25,24,47,3,3
317,25,14,48,3,3
318,25,14,47,3,3
319,25,24,47,3,2
320,25,24,47,3,2
321,10,14,50,3,2
323,10,14,49,3,2
324,25,24,47,3,3
325,25,14,49,3,5
326,10,14,50,3,2
327,10,14,50,3,2
328,17,14,50,3,2
329,21,14,49,3,5
330,21,14,47,3,3
331,10,14,50,3,2
332,21,14,49,3,3
333,10,14,47,3,2
334,10,14,47,3,2
335,10,14,50,3,2
336,10,14,47,3,2
337,10,14,48,3,2
338,25,14,47,3,3
339,21,14,48,3,3
340,21,14,49,3,3
341,21,14,51,3,4
342,21,14,49,3,3
343,10,14,48,3,2
344,21,14,48,3,3
345,17,14,49,3,2
346,25,24,47,3,3
347,25,14,48,3,3
349,21,25,47,3,3
350,21,14,48,3,3
351,21,14,48,3,3
352,21,14,48,3,3
354,21,14,48,3,3
356,21,14,48,3,3
357,21,14,48,3,3
358,25,14,48,3,3
359,25,24,47,3,2
360,25,14,47,3,3
361,25,24,47,3,3
362,25,25,48,3,3
363,21,25,48,3,3
364,25,14,48,3,3
365,21,24,47,3,3
366,25,25,48,3,3
367,25,25,47,3,3
368,21,24,47,3,3
369,25,14,47,3,2
370,25,14,47,3,2
371,25,14,47,3,2
372,25,14,47,3,2
373,25,14,47,3,2
374,10,14,47,3,2
375,10,14,47,3,2
401,35,21,51,4,4
402,35,21,51,4,4
403,35,21,51,4,4
404,35,21,51,4,4
405,35,21,51,4,4
406,21,25,47,4,4
407,35,14,51,4,4
408,21,25,48,4,3
409,21,14,49,4,4
410,35,21,51,4,3
411,35,25,48,4,3
412,21,14,48,4,3
413,35,21,48,4,4
414,35,25,48,4,3
415,35,14,48,4,3
416,21,25,48,4,3
417,35,25,47,4,4
418,21,21,48,4,4
419,21,21,48,4,3
420,21,21,51,4,4
421,21,14,51,4,4
422,21,14,51,4,4
423,35,21,51,4,4
424,21,14,51,4,4
425,35,21,49,4,3
426,35,14,51,4,4
427,35,14,51,4,4
428,21,14,51,4,4
429,35,21,51,4,4
430,21,14,49,4,3
431,21,21,51,4,4
432,25,14,51,4,4
433,21,14,51,4,4
434,25,14,51,4,4
435,21,14,48,4,3
436,35,14,46,4,4
437,21,14,51,4,4
438,35,14,51,4,4
439,35,14,51,4,4
440,35,21,51,4,4
441,35,21,51,4,3
442,35,14,51,4,4
443,35,21,51,4,4
444,35,14,46,4,4
446,21,21,49,4,3
447,35,21,48,4,3
448,35,21,51,4,4
450,35,21,51,4,4
451,35,21,48,4,3
452,35,21,51,4,4
454,21,14,49,4,3
458,21,14,48,4,3
460,21,14,49,4,3
461,21,14,49,4,3
463,35,21,48,4,3
